S0018,2017,518773.50
S0013,2018,516142.00
S0004,2018,518261.75
S0017,2017,504363.00
S0015,2018,516564.50
S0004,2016,501894.75
S0021,2020,512677.00
S0019,2018,526726.75
S0004,2015,505398.00
S0001,2014,473322.50
S0010,2014,493298.25
S0007,2020,529053.50
S0022,2019,522005.25
S0018,2020,532800.25
S0016,2015,501507.50
S0016,2014,478634.00
S0016,2019,509055.00
S0013,2019,510215.75
S0006,2014,479461.25
S0027,2014,492368.75
S0001,2021,32866.75
S0023,2017,516348.00
S0027,2016,508271.75
S0015,2017,519299.00
S0012,2020,514914.75
S0010,2015,511277.25
S0020,2015,518156.75
S0006,2015,519079.25
S0026,2016,517676.75
S0002,2017,514419.00
S0007,2018,528046.25
S0024,2016,532563.75
S0008,2019,508803.00
S0005,2019,505115.00
S0021,2019,506601.50
S0022,2014,494198.25
S0002,2021,32894.25
S0009,2018,522155.00
S0024,2020,515622.25
S0003,2020,515363.75
S0028,2017,531984.50
S0010,2020,515654.25
S0025,2018,515703.50
S0012,2017,517182.00
S0013,2021,29583.25
S0007,2017,520875.75
S0002,2015,520031.75
S0015,2014,493540.75
S0004,2019,537179.25
S0008,2017,518210.25
S0005,2015,524535.75
S0028,2016,518099.75
S0029,2019,525586.50
S0028,2020,509071.50
S0023,2019,507123.00
S0022,2017,521545.75
S0010,2021,33742.25
S0015,2020,531289.25
S0005,2021,33036.00
S0022,2021,29399.50
S0017,2021,33310.00
S0019,2019,523078.25
S0026,2019,516373.00
S0018,2018,502095.25
S0026,2018,518156.25
S0021,2016,534483.75
S0012,2015,508983.25
S0014,2017,528177.25
S0028,2018,501217.50
S0025,2015,514528.50
S0018,2019,523992.50
S0004,2020,532801.00
S0008,2020,517369.25
S0019,2014,478759.50
S0011,2017,502071.00
S0007,2014,485853.25
S0011,2021,29873.75
S0023,2021,30993.75
S0017,2014,500521.75
S0021,2014,520210.50
S0006,2018,541778.00
S0005,2018,519006.00
S0027,2021,31455.25
S0006,2017,516941.75
S0019,2015,518765.50
S0028,2019,504473.50
S0011,2019,511564.75
S0014,2020,515451.00
S0029,2018,525234.75
S0019,2021,29641.50
S0002,2020,515963.75
S0012,2021,28050.00
S0027,2020,503769.00
S0029,2016,521062.75
S0024,2021,33755.00
S0010,2017,509191.75
S0021,2015,516650.00
S0001,2017,513991.00
S0014,2019,506721.00
S0012,2014,485041.25
S0020,2021,30812.00
S0013,2016,513054.00
S0021,2021,29915.25
S0012,2019,514840.50
S0022,2018,523389.00
S0023,2014,505096.00
S0027,2018,526893.50
S0019,2017,512505.00
S0003,2019,519812.50
S0010,2016,534398.75
S0029,2020,522951.25
S0005,2016,524110.00
S0008,2018,523121.25
S0015,2019,510021.50
S0015,2015,521101.75
S0009,2014,487405.00
S0018,2016,529442.00
S0002,2016,527674.25
S0026,2015,501897.25
S0027,2015,495117.50
S0003,2014,493828.25
S0015,2021,33469.75
S0004,2021,34221.75
S0018,2014,487823.50
S0013,2014,498808.75
S0019,2016,526510.50
S0003,2018,521580.25
S0024,2015,513196.75
S0002,2014,511653.75
S0025,,3583749.75
S0028,,3613539.25
S0017,,3658968.25
S0026,,3617356.25
S0029,,3667062.00
S0011,,3605033.25
S0004,,3630098.00
S0009,,3602888.25
S0006,,3647770.25
S0018,,3658804.50
S0016,,3587470.00
S0001,,3605168.50
S0005,,3637063.25
S0007,,3645614.50
S0003,,3622149.50
S0024,,3623232.00
S0021,,3615719.00
S0014,,3624518.50
S0013,,3618892.25
S0012,,3622790.00
S0002,,3675206.00
S0019,,3618242.25
S0027,,3592098.75
S0008,,3613412.00
S0020,,3676230.00
S0015,,3648563.50
S0022,,3636235.50
S0010,,3640314.75
S0023,,3630042.00
,2021,906790.75
,2020,14970074.25
,2015,14936648.50
,2014,14236504.75
,2017,14939083.25
,2019,14981897.25
,2016,15123047.25
,2018,15124186.00
